ID,Front Camera,Rear Camera,Camera,Type
711,7,12,0.0546875,Sensible
720,7,12,0.0546875,Sensible
84,8,13,0.06770833333333333,Sensible
130,8,13,0.06770833333333333,Sensible
218,8,13,0.06770833333333333,Sensible
293,8,13,0.06770833333333333,Sensible
649,8,13,0.06770833333333333,Sensible
39,5,13,0.042317708333333336,Sensible
323,5,13,0.042317708333333336,Sensible
224,20,12,0.15625,Photophile
208,7,12,0.0546875,Sensible
237,7,12,0.0546875,Sensible
262,7,12,0.0546875,Sensible
266,7,12,0.0546875,Sensible
272,7,12,0.0546875,Sensible
286,7,12,0.0546875,Sensible
311,7,12,0.0546875,Sensible
337,7,12,0.0546875,Sensible
365,7,12,0.0546875,Sensible
517,7,12,0.0546875,Sensible
558,7,12,0.0546875,Sensible
559,7,12,0.0546875,Sensible
578,7,12,0.0546875,Sensible
643,7,12,0.0546875,Sensible
683,7,12,0.0546875,Sensible
705,7,12,0.0546875,Sensible
725,7,12,0.0546875,Sensible
732,7,12,0.0546875,Sensible
115,8,16,0.08333333333333333,Sensible
155,8,16,0.08333333333333333,Sensible
193,8,16,0.08333333333333333,Sensible
243,8,16,0.08333333333333333,Sensible
300,8,16,0.08333333333333333,Sensible
535,8,16,0.08333333333333333,Sensible
698,8,16,0.08333333333333333,Sensible
582,8,13,0.06770833333333333,Sensible
56,10,12,0.078125,Sensible
73,10,12,0.078125,Sensible
252,10,12,0.078125,Sensible
353,10,12,0.078125,Sensible
399,10,12,0.078125,Sensible
416,10,12,0.078125,Sensible
446,10,12,0.078125,Sensible
522,10,12,0.078125,Sensible
530,10,12,0.078125,Sensible
619,10,12,0.078125,Sensible
723,10,12,0.078125,Sensible
59,8,13,0.06770833333333333,Sensible
86,8,13,0.06770833333333333,Sensible
170,8,13,0.06770833333333333,Sensible
519,8,13,0.06770833333333333,Sensible
211,8,12,0.0625,Sensible
342,8,12,0.0625,Sensible
637,8,12,0.0625,Sensible
124,13,13,0.11002604166666667,Sensible
217,13,13,0.11002604166666667,Sensible
251,13,13,0.11002604166666667,Sensible
302,13,13,0.11002604166666667,Sensible
315,13,13,0.11002604166666667,Sensible
126,8,12,0.0625,Sensible
242,8,12,0.0625,Sensible
98,5,20,0.06510416666666667,Sensible
182,5,20,0.06510416666666667,Sensible
249,5,20,0.06510416666666667,Sensible
583,5,20,0.06510416666666667,Sensible
75,13,13,0.11002604166666667,Sensible
135,13,13,0.11002604166666667,Sensible
199,13,13,0.11002604166666667,Sensible
202,13,13,0.11002604166666667,Sensible
